Event Name,Image URL,Start Date,Start Time,Genre,Subgenre,Venue,City,Address
La Femme,https://s1.ticketm.net/dam/a/aa7/8f06c1ba-26e8-48cc-b915-82447d9a7aa7_CUSTOM.jpg,2025-04-10,20:30:00,Chanson Francaise,Chanson Francaise,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Tiakola,https://s1.ticketm.net/dam/a/ca7/6878d1a6-5c1f-485f-a0fb-87ea8aac3ca7_RECOMENDATION_16_9.jpg,2025-04-11,20:00:00,Hip-Hop/Rap,Hip-Hop/Rap,Rockhal Box,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Fat Dog,https://s1.ticketm.net/dam/a/55f/f0510259-c920-4c6d-baac-4b1f6131f55f_ARTIST_PAGE_3_2.jpg,2025-04-15,20:30:00,Alternative,Alternative Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Jok'Air,https://s1.ticketm.net/dam/a/c27/1590cde0-afd5-4c92-80a7-2c1c6b33bc27_TABLET_LANDSCAPE_16_9.jpg,2025-04-17,20:30:00,Chanson Francaise,Chanson Francaise,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Amistat,https://s1.ticketm.net/dam/a/84f/afbc9f6d-310c-4a4c-a492-7387b61f884f_RETINA_PORTRAIT_3_2.jpg,2025-04-21,20:30:00,Folk,Folk,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Miki,https://s1.ticketm.net/dam/a/50c/e64e7643-0f60-4211-9778-51e957d1950c_ARTIST_PAGE_3_2.jpg,2025-04-25,20:30:00,Rock,Pop,The Floor (Rockhal),Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
J.B.O.,https://s1.ticketm.net/dam/a/187/93d93ba5-7196-4997-ab40-d2ea75997187_TABLET_LANDSCAPE_LARGE_16_9.jpg,2025-04-26,20:30:00,Rock,Hard Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Deborah De Luca,https://s1.ticketm.net/dam/a/347/f80a1a98-1817-455b-8e3e-ac8454f96347_EVENT_DETAIL_PAGE_16_9.jpg,2025-05-03,21:00:00,Dance/Electronic,Club Dance,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Tony Ann,https://s1.ticketm.net/dam/a/f0c/4facdae7-2191-4147-8a18-a0c656ee1f0c_RETINA_PORTRAIT_16_9.jpg,2025-05-04,16:45:00,Dance/Electronic,Dance/Electronic,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
The Lumineers,https://s1.ticketm.net/dam/a/c43/dd2e05a1-3d00-4d4b-8a69-bac41a0f9c43_EVENT_DETAIL_PAGE_16_9.jpg,2025-05-06,20:00:00,Rock,Pop,Rockhal Box,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
David Garrett - Millennium Symphony World Tour 2025,https://s1.ticketm.net/dam/a/03a/a4b8f959-9674-4c68-91d0-946d6176b03a_SOURCE,2025-05-14,20:00:00,Rock,Pop,Rockhal,Esch-Alzette,"5, avenue du Rock'n'Roll"
Santa,https://s1.ticketm.net/dam/a/d44/a41b6944-303a-4a7b-82ea-8feb2f19bd44_TABLET_LANDSCAPE_3_2.jpg,2025-06-20,20:00:00,Rock,Pop,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Judas Priest,https://s1.ticketm.net/dam/a/184/46730768-a604-4c6e-baac-a30509b99184_SOURCE,2025-07-19,20:00:00,Rock,Hard Rock,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Helloween,https://s1.ticketm.net/dam/a/d7c/a9ec4ef9-ec5c-4567-ba6d-d5b3587ced7c_TABLET_LANDSCAPE_3_2.jpg,2025-10-17,19:30:00,Rock,Hard Rock,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Solann,https://s1.ticketm.net/dam/a/7fd/49de4319-5724-47c9-92cc-1eab9ec057fd_EVENT_DETAIL_PAGE_16_9.jpg,2025-11-14,20:30:00,Chanson Francaise,Chanson Francaise,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Sabaton ""The Legendary Tour""",https://s1.ticketm.net/dam/a/974/50068f22-0110-45b6-bdbe-7509b0939974_EVENT_DETAIL_PAGE_16_9.jpg,2025-11-26,19:00:00,Rock,Hard Rock,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
